
Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
linear 	0.0500	          50	sigmoid   	       781
linear 	0.0100	          50	sigmoid   	      6506
linear 	0.0100	          50	sigmoid   	      6568
linear 	0.0100	          50	sigmoid   	      6149
linear 	0.0100	          50	sigmoid   	     99999
linear 	0.0100	          50	sigmoid   	      7382
linear 	0.0100	          50	sigmoid   	     30464
linear 	0.0100	          50	sigmoid   	      5362
linear 	0.0100	          50	sigmoid   	      5955
linear 	0.0100	          50	sigmoid   	      1916
linear 	0.0100	          50	sigmoid   	      3905
linear 	0.0050	          50	sigmoid   	     13011
linear 	0.0050	          50	sigmoid   	     13135
linear 	0.0050	          50	sigmoid   	     12297
linear 	0.0050	          50	sigmoid   	     99999
linear 	0.0050	          50	sigmoid   	     14765
linear 	0.0050	          50	sigmoid   	     60924
linear 	0.0050	          50	sigmoid   	     10724
linear 	0.0050	          50	sigmoid   	     11911
linear 	0.0050	          50	sigmoid   	      3832
linear 	0.0050	          50	sigmoid   	      7809

Experiment: lr
Dataset	lr   	hidden units	activation	best epoch
xor    	0.1000	          50	sigmoid   	      3614
xor    	0.1000	          50	sigmoid   	      2678
xor    	0.1000	          50	sigmoid   	       858
xor    	0.1000	          50	sigmoid   	      2138
xor    	0.1000	          50	sigmoid   	      2002
xor    	0.1000	          50	sigmoid   	      1594
xor    	0.1000	          50	sigmoid   	      3870
xor    	0.1000	          50	sigmoid   	      3391
xor    	0.1000	          50	sigmoid   	      3127
xor    	0.1000	          50	sigmoid   	      3216
xor    	0.0500	          50	sigmoid   	      7227
xor    	0.0500	          50	sigmoid   	      5354
xor    	0.0500	          50	sigmoid   	      1714
xor    	0.0500	          50	sigmoid   	      4274
xor    	0.0500	          50	sigmoid   	      4002
xor    	0.0500	          50	sigmoid   	      3189
xor    	0.0500	          50	sigmoid   	      7738
xor    	0.0500	          50	sigmoid   	      6782
xor    	0.0500	          50	sigmoid   	      6252
xor    	0.0500	          50	sigmoid   	      6431
xor    	0.0100	          50	sigmoid   	     36128
xor    	0.0100	          50	sigmoid   	     26761
xor    	0.0100	          50	sigmoid   	      8560
xor    	0.0100	          50	sigmoid   	     21370
xor    	0.0100	          50	sigmoid   	     19998
xor    	0.0100	          50	sigmoid   	     15947
xor    	0.0100	          50	sigmoid   	     38675
xor    	0.0100	          50	sigmoid   	     33909
xor    	0.0100	          50	sigmoid   	     31254
xor    	0.0100	          50	sigmoid   	     32146
xor    	0.0050	          50	sigmoid   	     72255
xor    	0.0050	          50	sigmoid   	     53520
xor    	0.0050	          50	sigmoid   	     17118
xor    	0.0050	          50	sigmoid   	     42740
xor    	0.0050	          50	sigmoid   	     39994
xor    	0.0050	          50	sigmoid   	     31894
xor    	0.0050	          50	sigmoid   	     77347
xor    	0.0050	          50	sigmoid   	     67818
xor    	0.0050	          50	sigmoid   	     62507
xor    	0.0050	          50	sigmoid   	     64291

Experiment: activation
Dataset	lr   	hidden units	activation	best epoch	accuracy
