episode	mean	max
786	4281.22	24144
787	4295.76	24144
788	4310.98	24144
789	4320.2	24144
790	4333.82	24144
791	4342.22	24144
792	4350.46	24144
793	4363.44	24144
794	4369.94	24144
795	4375.28	24144
796	4383.53	24144
797	4391.65	24144
798	4397.46	24144
799	4412.12	24144
800	4421.33	24144
801	4430.39	24144
802	4442.92	24144
803	4443.91	24144
804	4449.26	24144
805	4451.5	24144
806	4459.13	24144
807	4466.56	24144
808	4472.19	24144
809	4478.42	24144
810	4486.2	24144
811	4498.95	24144
812	4506.88	24144
813	4514.5	24144
814	4524.08	24144
815	4533.66	24144
816	4536.09	24144
817	4547.86	24144
818	4556.46	24144
819	4564.84	24144
820	4570.59	24144
821	4576.86	24144
822	4585.65	24144
823	4597.88	24144
824	4600.31	24144
825	4608.89	24144
826	4626.93	24144
827	4633.66	24144
828	4638.81	24144
829	4649.28	24144
830	4654.59	24144
831	4662.91	24144
832	4675.39	24144
833	4682.6	24144
834	4689.74	24144
835	4693.03	24144
836	4699.99	24144
837	4716.37	24144
838	4719.73	24144
839	4727.32	24144
840	4734.7	24144
841	4743.18	24144
842	4747.05	24144
843	4753.46	24144
844	4761.13	24144
845	4771.33	24144
846	4777.98	24144
847	4787.48	24144
848	4795.68	24144
849	4801.95	24144
850	4813.38	24144
851	4819.07	24144
852	4822.45	24144
853	4830.36	24144
854	4840.14	24144
855	4855.08	24144
856	4861.89	24144
857	4865.26	24144
858	4878.2	24144
859	4882.02	24144
860	4894.44	24144
861	4900.81	24144
862	4908.88	24144
863	4925.66	24144
864	4929.87	24144
865	4931.62	24144
866	4940.91	24144
867	4948.74	24144
868	4954.82	24144
869	4962.77	24144
870	4969.68	24144
871	4975.02	24144
872	4983.34	24144
873	4991.77	24144
874	4999.08	24144
875	5016.88	24144
876	5021.14	24144
877	5029.31	24144
878	5038.55	24144
879	5045.95	24144
880	5052.31	24144
881	5056.41	24144
882	5063.66	24144
883	5071.04	24144
884	5078.32	24144
885	5093.07	24144
886	5106.18	24144
887	5123.92	24144
888	5136.42	24144
889	5137.9	24144
890	5146.62	24144
891	5150.12	24144
892	5153.64	24144
893	5162.49	24144
894	5171.92	24144
895	5181.6	24144
896	5190.76	24144
897	5198.26	24144
898	5207.5	24144
899	5211.6	24144
900	5219.94	24144
901	5228.73	24144
902	5241.27	24144
903	5250.24	24144
904	5258.55	24144
905	5265.42	24144
906	5273.96	24144
907	5287.09	24144
908	5294.41	24144
909	5303.92	24144
910	5311.64	24144
911	5318.95	24144
912	5331.65	24144
913	5339.34	24144
914	5351.6	24144
915	5359.82	24144
916	5365.32	24144
917	5368.52	24144
918	5377.05	24144
919	5390.24	24144
920	5398.25	24144
921	5410.83	24144
922	5414.28	24144
923	5422.31	24144
924	5428.48	24144
925	5438.18	24144
926	5446.02	24144
927	5449.23	24144
928	5461.84	24144
929	5471.76	24144
930	5480.65	24144
931	5488.49	24144
932	5494.01	24144
933	5508.79	24144
934	5512	24144
935	5517.45	24144
936	5524.88	24144
